VISIT.,AMGR,AMMA,ANBO,PSRE,RAAU,RACA,RAPR,TAGR,SiteCode
07-45,NA,NA,NA,1,NA,NA,NA,NA,LCM
07-46,NA,NA,NA,1,NA,NA,NA,NA,LCM
07-47,NA,NA,NA,3,NA,NA,2,NA,CAMAS
08-01,NA,NA,NA,NA,NA,NA,NA,12,BRUR
08-06,NA,NA,NA,NA,NA,NA,NA,9,BRUR
08-07,NA,NA,1,NA,NA,NA,NA,NA,BRUR
08-08,NA,NA,NA,25,NA,NA,NA,1,CAMAS
08-09,NA,NA,NA,214,NA,NA,4,16,CAMAS
08-10,NA,NA,NA,NA,NA,NA,NA,5,BRUR
08-11,NA,NA,NA,3,NA,NA,NA,NA,CAMAS
08-12,NA,NA,NA,1,NA,2,NA,2,WEENS
08-15,NA,NA,3,NA,NA,NA,NA,NA,FROG
08-14,NA,NA,NA,5,NA,NA,1,5,CAMAS
08-16,NA,NA,1,30,NA,NA,NA,NA,DRY
08-17,NA,NA,2,1,NA,NA,NA,NA,FROG
08-20,NA,NA,NA,NA,NA,NA,NA,1,FRY
08-19,NA,NA,NA,1,NA,1,NA,4,JACK
08-18,NA,NA,NA,NA,NA,NA,NA,NA,DRY
08-21,NA,NA,NA,NA,NA,NA,NA,2,LCM
08-22,NA,NA,2,NA,NA,NA,NA,NA,FROG
08-23,NA,NA,NA,NA,NA,NA,NA,1,BRUR
08-25,NA,NA,NA,NA,NA,NA,NA,NA,FRY
08-24,NA,NA,3,NA,NA,NA,NA,NA,FROG
08-26,NA,NA,1,NA,NA,NA,NA,NA,FRY
08-27,NA,NA,NA,NA,NA,NA,NA,NA,DRY
08-29,NA,NA,NA,NA,NA,3,NA,4,JACK
08-28,NA,NA,NA,NA,NA,NA,NA,2,DRY
08-40,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
08-36,NA,NA,NA,1,NA,NA,NA,NA,FRY
08-37,NA,NA,NA,NA,NA,NA,1,NA,CAMAS
08-39,NA,NA,1,2,NA,NA,NA,NA,LCM
09-05,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
09-06,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
09-07,NA,NA,NA,205,NA,1,1,6,CAMAS
09-08,NA,NA,NA,2,NA,NA,NA,30,BRUR
09-09,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
